"Market: Digital Media - Video-on-Demand - Video Streaming (SVoD), Region: Worldwide, Currency: USD (US$)",,,,,,,,,,,
,,,,,,,,,,,
REVENUE COMPARISON in million USD (US$),,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Average
Albania,1,1,2,3,4,6,7,8,9,9,5
Algeria,15,23,36,55,73,92,113,132,150,169,86
Angola,1,1,2,2,3,4,5,6,7,7,4
Argentina,149,144,159,198,228,251,271,287,300,313,230
Armenia,1,2,3,4,5,7,8,9,10,11,6
Australia,434,507,571,718,917,1020,1097,1150,1184,1221,882
Austria,59,77,92,121,148,165,176,184,189,193,140
Azerbaijan,3,4,6,8,10,11,12,13,14,15,10
Bahrain,4,6,7,9,11,12,13,13,13,14,10
Bangladesh,17,28,43,68,92,117,141,161,177,193,104
Belarus,6,8,10,11,12,14,15,15,16,16,12
Belgium,115,148,175,226,274,301,317,328,334,340,256
Belize,0,1,1,1,1,1,1,1,1,1,1
Benin,1,1,2,4,7,10,13,15,16,18,9
Bhutan,1,1,1,1,2,2,2,2,2,2,2
Bolivia,14,19,26,36,43,48,52,55,57,59,41
Bosnia and Herzegovina,4,6,7,8,10,11,11,11,11,12,9
Botswana,0,1,1,2,2,3,4,4,5,6,3
Brazil,661,787,1004,1098,1376,1752,2102,2458,2747,3041,1703
Brunei Darussalam,1,1,1,1,1,1,1,2,2,2,1
Bulgaria,4,5,7,10,13,16,19,21,23,26,14
Burkina Faso,0,1,2,3,5,8,11,14,16,18,8
Burundi,0,0,0,1,1,2,2,3,3,3,1
Cambodia,3,5,7,11,16,21,25,30,33,37,19
Cameroon,1,2,3,7,12,19,25,31,36,42,18
Canada,713,861,1031,1298,1621,1877,2112,2319,2496,2682,1701
Chad,0,1,1,2,4,5,6,7,7,8,4
Chile,82,105,121,141,179,194,205,211,215,219,167
China,4117,5358,6709,9197,11809,14551,17299,19877,22189,24636,13574
Colombia,123,163,194,231,273,302,321,332,337,342,262
Costa Rica,8,10,12,16,17,18,19,20,20,20,16
Croatia,4,6,7,10,13,16,18,20,21,22,14
Cuba,14,18,23,29,33,35,36,37,38,38,30
Cyprus,1,2,3,4,6,7,8,10,11,12,6
Czechia,30,40,47,58,71,76,79,81,82,83,65
Denmark,109,142,170,219,263,284,298,307,314,320,243
Dominican Republic,16,21,28,34,39,43,45,46,46,47,37
Ecuador,32,41,52,67,75,80,83,84,85,86,69
Egypt,38,60,91,139,186,233,277,315,347,380,207
El Salvador,10,14,20,28,33,38,41,43,44,46,32
Equatorial Guinea,1,1,2,2,3,3,3,4,4,4,3
Estonia,1,2,2,3,5,6,6,7,8,8,5
Ethiopia,2,4,9,16,22,29,39,49,58,69,30
Fiji,1,1,2,2,2,3,3,3,3,3,2
Finland,66,86,101,129,154,167,174,179,181,183,142
France,529,651,739,949,1178,1351,1492,1610,1703,1797,1200
Gabon,0,0,0,1,2,2,3,4,5,6,2
Gambia,0,0,0,0,1,1,1,1,2,2,1
Georgia,1,2,3,4,5,7,8,10,11,13,6
Germany,807,1068,1301,1766,2299,2733,3099,3406,3651,3902,2403
Ghana,3,6,12,22,34,47,59,69,75,81,41
Greece,31,38,44,55,67,76,82,86,89,93,66
Guatemala,24,33,46,64,76,85,91,96,100,103,72
Guinea,4,7,11,17,21,25,27,28,29,29,20
Guyana,1,1,1,2,3,4,5,5,6,6,3
Haiti,4,6,8,9,15,15,14,14,14,13,11
Honduras,12,16,22,31,39,44,47,49,50,52,36
Hungary,8,11,12,15,19,21,22,23,24,24,18
Iceland,3,3,4,4,5,5,5,5,6,6,5
